[2025-11-04 14:10:12][INFO] - This log is also available at '/scratch/tisi/cartospeed/head_finetuning/2/outputs/2025-11-04/14-10-12/train.log'.
[2025-11-04 14:10:12][INFO] - Package version: 2025.10
[2025-11-04 14:30:56][INFO] - Epoch:   43 | learning rate: 1.000e-05 | training loss: 2.644e+00 | training energy RMSE (per atom):   9.74 meV | training energy MAE (per atom):   7.11 meV | training forces RMSE: 111.10 meV/A | training forces MAE: 61.501 meV/A | validation loss: 1.431e+00 | validation energy RMSE (per atom):  22.34 meV | validation energy MAE (per atom):   8.87 meV | validation forces RMSE: 431.15 meV/A | validation forces MAE: 67.405 meV/A
[2025-11-04 14:31:24][INFO] - Epoch:   44 | learning rate: 1.000e-05 | training loss: 2.584e+00 | training energy RMSE (per atom):   9.50 meV | training energy MAE (per atom):   6.93 meV | training forces RMSE: 110.93 meV/A | training forces MAE: 61.307 meV/A | validation loss: 1.432e+00 | validation energy RMSE (per atom):  22.19 meV | validation energy MAE (per atom):   8.65 meV | validation forces RMSE: 431.20 meV/A | validation forces MAE: 67.383 meV/A
[2025-11-04 14:31:51][INFO] - Epoch:   45 | learning rate: 1.000e-05 | training loss: 2.577e+00 | training energy RMSE (per atom):   9.68 meV | training energy MAE (per atom):   7.01 meV | training forces RMSE: 110.70 meV/A | training forces MAE: 61.205 meV/A | validation loss: 1.432e+00 | validation energy RMSE (per atom):  22.25 meV | validation energy MAE (per atom):   8.73 meV | validation forces RMSE: 431.23 meV/A | validation forces MAE: 67.317 meV/A
[2025-11-04 14:32:19][INFO] - Epoch:   46 | learning rate: 1.000e-05 | training loss: 2.560e+00 | training energy RMSE (per atom):   9.50 meV | training energy MAE (per atom):   6.94 meV | training forces RMSE: 110.59 meV/A | training forces MAE: 61.106 meV/A | validation loss: 1.433e+00 | validation energy RMSE (per atom):  23.17 meV | validation energy MAE (per atom):   8.58 meV | validation forces RMSE: 431.26 meV/A | validation forces MAE: 67.243 meV/A
[2025-11-04 14:32:47][INFO] - Epoch:   47 | learning rate: 1.000e-05 | training loss: 2.576e+00 | training energy RMSE (per atom):   9.47 meV | training energy MAE (per atom):   6.88 meV | training forces RMSE: 110.45 meV/A | training forces MAE: 61.113 meV/A | validation loss: 1.432e+00 | validation energy RMSE (per atom):  22.37 meV | validation energy MAE (per atom):   8.35 meV | validation forces RMSE: 431.25 meV/A | validation forces MAE: 67.301 meV/A
[2025-11-04 14:33:14][INFO] - Epoch:   48 | learning rate: 1.000e-05 | training loss: 2.578e+00 | training energy RMSE (per atom):   9.58 meV | training energy MAE (per atom):   6.91 meV | training forces RMSE: 110.28 meV/A | training forces MAE: 61.007 meV/A | validation loss: 1.431e+00 | validation energy RMSE (per atom):  22.53 meV | validation energy MAE (per atom):   8.42 meV | validation forces RMSE: 431.03 meV/A | validation forces MAE: 67.175 meV/A
[2025-11-04 14:33:41][INFO] - Epoch:   49 | learning rate: 1.000e-05 | training loss: 2.557e+00 | training energy RMSE (per atom):   9.38 meV | training energy MAE (per atom):   6.78 meV | training forces RMSE: 110.14 meV/A | training forces MAE: 60.948 meV/A | validation loss: 1.432e+00 | validation energy RMSE (per atom):  22.34 meV | validation energy MAE (per atom):   8.56 meV | validation forces RMSE: 431.24 meV/A | validation forces MAE: 67.102 meV/A
[2025-11-04 14:34:09][INFO] - Epoch:   50 | learning rate: 1.000e-05 | training loss: 2.528e+00 | training energy RMSE (per atom):   9.49 meV | training energy MAE (per atom):   6.86 meV | training forces RMSE: 110.01 meV/A | training forces MAE: 60.921 meV/A | validation loss: 1.433e+00 | validation energy RMSE (per atom):  23.15 meV | validation energy MAE (per atom):   8.45 meV | validation forces RMSE: 431.40 meV/A | validation forces MAE: 67.057 meV/A
[2025-11-04 14:34:36][INFO] - Epoch:   51 | learning rate: 1.000e-05 | training loss: 2.523e+00 | training energy RMSE (per atom):   9.43 meV | training energy MAE (per atom):   6.83 meV | training forces RMSE: 109.87 meV/A | training forces MAE: 60.832 meV/A | validation loss: 1.433e+00 | validation energy RMSE (per atom):  23.04 meV | validation energy MAE (per atom):   8.32 meV | validation forces RMSE: 431.39 meV/A | validation forces MAE: 67.035 meV/A
[2025-11-04 14:35:04][INFO] - Epoch:   52 | learning rate: 1.000e-05 | training loss: 2.517e+00 | training energy RMSE (per atom):   9.43 meV | training energy MAE (per atom):   6.85 meV | training forces RMSE: 109.70 meV/A | training forces MAE: 60.751 meV/A | validation loss: 1.431e+00 | validation energy RMSE (per atom):  22.28 meV | validation energy MAE (per atom):   8.60 meV | validation forces RMSE: 431.19 meV/A | validation forces MAE: 66.885 meV/A
